FacID,Site,Call,Ch,PC,City,St,Lat,Lon,RCAMSL,HAAT,ERP,DA,AntID,Az
38336,,WLIW,32,21,GARDEN CITY,NY,404719,732707,149.2,111,114,DA,85382,0
43952,2,WMBC-TV,18,18,NEWTON,NJ,404454,735909,323,309,90,DA,96970,110
48457,,WNJB,8,8,NEW BRUNSWICK,NJ,403717,743014,281,218,40.8,DA,104545,0
48481,,WNJS,23,22,CAMDEN,NJ,394341,745038,294,264,202,ND,,
50063,,WPXQ-TV,17,17,BLOCK ISLAND,RI,412941,714704,298.1,228,1000,DA,67093,0
50780,,WJAR,25,50,PROVIDENCE,RI,415155,711713,334.6,306,612,DA,1000769,0
51568,,WTXF-TV,31,42,PHILADELPHIA,PA,400226,751418,406.6,343,499,DA,104789,0
51864,,WNEU,29,34,MERRIMACK,NH,425902,713518,431,293,72.1,DA,28154,0
51980,,WHPX-TV,28,26,NEW LONDON,CT,412503,721153,448.6,384,496,DA,87428,0
51984,,WPPX-TV,34,31,WILMINGTON,DE,400230,751410,438.6,374,213,DA,39302,0
53115,,WFSB,36,33,HARTFORD,CT,414630,724818,375.8,288.8,1000,DA,44846,0
53930,,WGAL,8,8,LANCASTER,PA,400204,763707,556.9,419,32.2,ND,,
56092,,WSBE-TV,2,21,PROVIDENCE,RI,415154,711713,296,268,0.459,DA,65226,0
59442,,WMAR-TV,27,38,BALTIMORE,MD,392005,763902,395,312,797,ND,,
60553,,WFTY-DT,23,23,SMITHTOWN,NY,405323,725711,243,219,655,DA,107216,0
60555,,WFUT-DT,26,30,NEWARK,NJ,404454,735909,441.8,429,183,DA,87422,0
60653,,WETM-TV,23,18,ELMIRA,NY,420622,765216,769,376,50.6,DA,85158,0
60654,,WKTV,29,29,UTICA,NY,430609,745626,692,402,708,DA,78206,0
60850,,WBPH-TV,9,9,BETHLEHEM,PA,403402,752603,452.3,302,80.6,DA,104583,30
61111,,WMGM-TV,36,36,WILDWOOD,NJ,390728,744555,128.6,126.5,205,DA,70520,0
62210,,WICZ-TV,7,8,BINGHAMTON,NY,420322,755638,765.3,371,7.9,DA,70921,0
63153,,WCAU,28,34,PHILADELPHIA,PA,400230,751410,464.3,400.1,618,ND,,
64690,,WQPX-TV,33,32,SCRANTON,PA,412606,754334,712.6,354,539,DA,59210,0
65696,,WBAL-TV,12,11,BALTIMORE,MD,392005,763902,383,299,26.6,ND,,
68137,,W24BB-D,24,24,EAST STROUDSBURG,PA,410136,753016,679.17,0,0.8,DA,119939,110
69271,,WEKW-TV,18,49,KEENE,NH,430200,722202,607.6,331.4,59.3,ND,,
70158,,WVVH-CD,18,50,SOUTHAMPTON,NY,405720,721514,31.7,0,7.79,DA,88622,0
71218,,WBOC-TV,32,21,SALISBURY,MD,383017,753836,288,279,934,DA,90492,0
71225,,WBRE-TV,11,11,WILKES-BARRE,PA,411058,755225,855,471,30,DA,71517,0
72096,,WGBY-TV,13,22,SPRINGFIELD,MA,421429,723854,403.9,306,1.24,ND,,
72278,,WPHA-CD,24,24,PHILADELPHIA,PA,400230,751410,312,0,15,DA,110622,135
72313,,WHP-TV,32,21,HARRISBURG,PA,402043,765208,540,369,954,DA,98648,0
72326,,WHTM-TV,10,10,HARRISBURG,PA,401858,765660,469.4,311.1,16.2,DA,46002,0
72335,,WDPB,24,44,SEAFORD,DE,383915,753641,205,196,65.2,DA,66096,70
72338,,WHYY-TV,13,12,WILMINGTON,DE,400230,751422,359,294,30,DA,109173,0
73206,,WLNY-TV,29,47,RIVERHEAD,NY,405350,725454,216.4,193,703,DA,88348,0
73263,,WMHT,25,34,SCHENECTADY,NY,423731,740036,681.8,426,268,ND,,
73264,,WCWN,22,43,SCHENECTADY,NY,423731,740036,681.8,426,389,ND,,
73311,,WNAC-TV,12,12,PROVIDENCE,RI,415236,711655,335,305,30,ND,,
73318,,WNEP-TV,16,50,SCRANTON,PA,411057,755214,900,517,248,ND,,
73333,,WNJU,35,36,LINDEN,NJ,404247,740047,530.4,519.1,519,DA,1000616,0
73356,,WPXN-TV,34,31,NEW YORK,NY,404247,740047,530.4,519,106,ND,,
73363,,WNYT,12,12,ALBANY,NY,423731,740036,691.8,435,15,ND,,
73374,,WSWB,34,31,SCRANTON,PA,412609,754343,710,356,106,ND,,
73375,,WOLF-TV,22,45,HAZLETON,PA,411100,755209,873,488,262,ND,,
73879,,WPHL-TV,17,17,PHILADELPHIA,PA,400230,751422,389,324,645,ND,,
73881,,WPIX,11,11,NEW YORK,NY,404246,740048,518,506,5.5,DA,87858,0
73942,,WRGB,6,6,SCHENECTADY,NY,423731,740036,649,392,30.2,ND,,
74034,,WSKG-TV,31,42,BINGHAMTON,NY,420340,755644,803.2,408,40.2,ND,,
74109,,WTNH,10,10,NEW HAVEN,CT,412522,725704,440,342,20.5,DA,65037,0
74170,,WVIT,31,35,NEW BRITAIN,CT,414202,724955,532,434,230,DA,65777,0
74197,,WWOR-TV,25,38,SECAUCUS,NJ,404454,735909,410.5,397,130,ND,,
74214,,WUTH-CD,22,47,HARTFORD,CT,414230,722832,274.7,0,9.03,DA,18125,295
74216,,WFPA-CD,35,28,PHILADELPHIA,PA,400230,751410,428.2,0,6.58,DA,20732,230
74422,,WTEN,24,26,ALBANY,NY,423731,740036,681.8,426,669,DA,67986,0
74464,,WPHY-CD,22,50,TRENTON,NJ,400424,751127,189.7,0,3.17,DA,106397,0
86537,,WJLP,3,3,MIDDLETOWN TOWNSHIP,NJ,404522,735910,354.4,340.2,6.96,ND,,
167543,,WPSJ-CD,27,38,HAMMONTON,NJ,394341,745038,286.1,0,4.78,DA,112554,305
168834,,WDVB-CD,22,23,EDISON,NJ,404454,735909,313.5,0,6.83,DA,98295,260
189357,,WMDE,5,5,DOVER,DE,385718,760534,154.1,145,10,ND,,
189358,,WACP,4,4,ATLANTIC CITY,NJ,394404,745027,287.7,258.4,10,DA,118440,0
191822,,WQAV-CD,26,50,GLASSBORO,NJ,393320,744446,130,0,9.38,DA,115018,265
2650,,WFXQ-CD,21,28,SPRINGFIELD,MA,421505,723841,361,0,0.024,DA,72159,0
6463,,WFXT,34,31,BOSTON,MA,421810,711305,403,363,829,DA,85145,0
11970,,WXXA-TV,8,7,ALBANY,NY,423731,740036,692,434,15,ND,,
22591,,WLNE-TV,24,49,NEW BEDFORD,MA,415154,711713,313,284,213,DA,66255,0
23671,,WWDP,10,10,NORWELL,MA,420038,710240,173.5,142,5,ND,,
25456,,WBZ-TV,20,30,BOSTON,MA,421837,711412,434,390,660,DA,72835,0
25683,,WGME-TV,15,38,PORTLAND,ME,435528,702926,580.5,465,603,DA,71807,0
26996,,WYCX-CD,2,2,"MANCHESTER, ETC.",VT,425828,723608,503.86,0,1.56,DA,111052,0
34329,,WNYI,13,20,ITHACA,NY,424530,760246,690,237,2.73,DA,95806,340
39664,,WCSH,31,44,PORTLAND,ME,435130,704239,741.4,587.9,775,DA,43473,0
40758,,WSYT,14,19,SYRACUSE,NY,425250,761159,799,445,540,DA,29285,0
43424,,WFXV,34,27,UTICA,NY,430843,751034,458.7,211,1000,DA,89214,355
47404,,WPRI-TV,7,13,PROVIDENCE,RI,415236,711655,334.3,305,30,ND,,
48413,,WVMA-CD,22,47,WINCHENDON,MA,430200,722202,587.4,0,9.04,ND,,
57476,,WPTZ,14,14,PLATTSBURGH,NY,443132,724856,1270,845,650,DA,72521,0
60551,,WUTF-DT,27,27,MARLBOROUGH,MA,422302,712935,437.1,356,400,DA,108564,0
65684,,WCVB-TV,33,20,BOSTON,MA,421837,711412,433.4,390,831,ND,,
69237,,WENH-TV,11,11,DURHAM,NH,431033,711227,462.3,304.1,30,DA,87588,0
69940,,WVTB,28,18,ST. JOHNSBURY,VT,443416,715337,1022.4,590,84.1,ND,,
69946,,WVER,10,9,RUTLAND,VT,433931,730623,641.6,385,15,DA,67939,0
72098,,WGBX-TV,32,43,BOSTON,MA,421837,711412,434,391,403,ND,,
72099,,WGBH-TV,5,19,BOSTON,MA,421837,711412,417,374,5.3,ND,,
72145,,WHDH,35,42,BOSTON,MA,421841,711258,331.1,288,873,ND,,
73288,,WMTW,8,8,POLAND SPRING,ME,435044,704541,766,612,29.8,ND,,
73292,,WMUR-TV,9,9,MANCHESTER,NH,425901,713523,453,314,6.5,DA,107250,0
73982,,WSBK-TV,21,39,BOSTON,MA,421837,711412,434,390,92.2,ND,,
74151,,WTVH,18,47,SYRACUSE,NY,425719,760633,575.5,290.1,274,ND,,
136751,,WNYA,7,13,PITTSFIELD,MA,423813,735943,538.3,301,12.7,DA,89843,70
1051,,WJLA-TV,7,7,WASHINGTON,DC,385701,770446,309.5,235.6,52,ND,,
4688,,WHSV-TV,20,49,HARRISONBURG,VA,383605,783756,989,639,36.1,DA,77023,0
10758,,WBFF,26,46,BALTIMORE,MD,392010,763858,456.8,372.8,440,DA,96405,0
20287,,WATM-TV,31,24,ALTOONA,PA,403406,782637,835.7,311,1000,DA,29784,0
22207,,WTTG,36,36,WASHINGTON,DC,385722,770458,295.8,227,1000,ND,,
23264,,WWPX-TV,13,12,MARTINSBURG,WV,392728,780351,523.8,314,23,ND,,
23337,,WBNG-TV,8,7,BINGHAMTON,NY,420331,755705,739.2,342.3,34,ND,,
23341,,WTAJ-TV,24,32,ALTOONA,PA,403401,782629,829.92,305.2,743,DA,70018,0
25045,,WHAG-TV,23,26,HAGERSTOWN,MD,393945,775753,559.4,376,538,DA,87531,0
27772,,WHUT-TV,33,33,WASHINGTON,DC,385701,770446,327.2,254,100,ND,,
40618,,WCPB,21,28,SALISBURY,MD,382309,753532,166.2,155,113,DA,87913,0
40626,,WFPT,21,28,FREDERICK,MD,391537,771843,304.3,158,35.2,DA,87776,0
47904,,WRC-TV,34,48,WASHINGTON,DC,385624,770453,312,242,624,ND,,
65593,,WUSA,9,9,WASHINGTON,DC,385701,770446,309.5,235.6,52,ND,,
65670,,WETA-TV,14,27,WASHINGTON,DC,385701,770446,327,254,53.8,ND,,
65942,,WMPT,31,42,ANNAPOLIS,MD,390036,763632,312.5,290,415,DA,88753,0
65943,,WWPB,29,44,HAGERSTOWN,MD,393904,775814,547.9,369,372,DA,104333,0
65944,,WMPB,22,29,BALTIMORE,MD,392650,764647,464.4,309,36.5,DA,87779,0
68135,,WYLN-LP,26,35,HAZLETON,PA,405810,755723,602,160.6,4.55,DA,20732,275
69532,,WFDC-DT,15,15,ARLINGTON,VA,385624,770453,296.9,227,1000,DA,106253,0
73083,,WITF-TV,36,36,HARRISBURG,PA,402043,765208,591,411,50,DA,19302,150
74091,,WPXW-TV,35,34,MANASSAS,VA,385701,770446,327,258,1000,DA,89488,0
74416,,WRIC-TV,28,22,PETERSBURG,VA,373046,773605,393.8,328.2,971,ND,,
191262,,WMJF-CD,23,39,TOWSON,MD,392410,763611,212,0,3.57,DA,112853,110
39659,,WCBB,10,10,AUGUSTA,ME,440915,700035,386.7,304,30,ND,,
48406,,WPXG-TV,23,33,CONCORD,NH,431104,711910,508.7,344,80.6,DA,42932,0
39656,,WMEA-TV,36,45,BIDDEFORD,ME,432500,704815,349.4,231,42.1,DA,41344,90
46728,,WCAX-TV,20,22,BURLINGTON,VT,443132,724856,1270,845,423,ND,,
48408,,WPME,24,35,LEWISTON,ME,435106,701938,345,278,11.4,ND,,
84088,,WPFO,17,23,WATERVILLE,ME,440915,700035,416,331,338,DA,87649,0
363,,WCAV,32,19,CHARLOTTESVILLE,VA,375904,782851,493.5,325.6,207,DA,87040,0
412,,WRLH-TV,24,26,RICHMOND,VA,373046,773604,393.9,327.7,765,ND,,
9987,,WCVE-TV,22,42,RICHMOND,VA,373045,773603,412.4,346.3,106,ND,,
9989,,WCVW,29,44,RICHMOND,VA,373046,773604,394,328,83.3,ND,,
9990,,WHTJ,26,46,CHARLOTTESVILLE,VA,375860,782901,499.1,331.6,111,DA,70070,0
10897,,WUPV,8,47,ASHLAND,VA,374432,771514,282,249,7.98,DA,28058,0
25932,,WHRO-TV,31,16,HAMPTON-NORFOLK,VA,364832,763011,363.6,360.6,1000,DA,87388,0
30833,,WWBT,10,12,RICHMOND,VA,373024,773011,294.9,242,26,ND,,
40759,,WTVZ-TV,33,33,NORFOLK,VA,364832,763012,378.6,375.6,960,ND,,
47705,,WAHU-CD,35,40,CHARLOTTESVILLE,VA,375904,782851,484.6,0,13.6,ND,,
52075,,WQMY,29,29,WILLIAMSPORT,PA,411201,770712,539,243,50,DA,90263,0
57832,,WTVR-TV,23,25,RICHMOND,VA,373046,773604,412.4,347,392,ND,,
57905,,WAZT-CD,30,45,WOODSTOCK,VA,385220,774154,389.9,0,3.58,DA,1000643,280
60111,3,WVPT,12,11,STAUNTON,VA,382039,793546,1338,470,0.008,DA,108801,0
66219,2,WPSU-TV,15,15,CLEARFIELD,PA,404247,775400,655.3,281.6,48,DA,DA/43E,0
70309,,WVIR-TV,2,32,CHARLOTTESVILLE,VA,375903,782852,535.7,367.9,5.47,DA,67231,0
73120,,WJAC-TV,35,34,JOHNSTOWN,PA,402217,785855,910,386,1000,DA,69309,0
74167,,WVEC,11,13,HAMPTON,VA,364860,762805,368.3,363,35,ND,,
76324,,WSKY-TV,13,9,MANTEO,NC,363115,761815,309.9,306,70,ND,,
168449,,WAZW-CD,26,46,WOODSTOCK,VA,385736,781951,662,0,10.1,DA,20358,35
190915,,WSVF-CD,36,43,HARRISONBURG,VA,382334,784612,913.2,0,11.4,DA,110559,0
68136,,W47AO-D,36,47,BERWICK,PA,410020,761249,533,0,12.2,DA,1000571,330
413,,WUHF,28,28,ROCHESTER,NY,430805,773506,305.7,161,320,DA,66841,0
415,,WUTV,36,14,BUFFALO,NY,430132,785542,479.5,299.5,1000,DA,76608,0
10869,,WVTT-CD,11,34,OLEAN,NY,422637,783310,782,0,1.25,ND,,
15567,,W16AX-D,16,16,ITHACA,NY,422547,762948,256,0,1.7,DA,19180,20
15569,,WBGH-CA,20,20,BINGHAMTON,NY,420339,755635,594,0,0.024,ND,,
16962,,W07BV,9,7,"WILKES-BARRE, ETC.",PA,411154,754911,760,0,0.024,DA,21661,0
21252,,WSTM-TV,19,24,SYRACUSE,NY,425642,760706,688.9,393,187,ND,,
34342,,WWDG-CD,28,28,UTICA,NY,430834,751033,381,0,12.7,DA,20495,170
52077,,W24DB,24,24,CLARKS SUMMIT,PA,412609,754345,718.8,0,0.102,DA,16528,15
53734,,WCNY-TV,20,25,SYRACUSE,NY,425642,760706,689,393,86.5,ND,,
54176,,WKBW-TV,34,38,BUFFALO,NY,423815,783711,844.9,432.9,331,ND,,
57274,,WXXI-TV,22,16,ROCHESTER,NY,430807,773502,299,151.4,223,DA,117235,0
57837,,WUTR,30,30,UTICA,NY,430843,751034,476,227,50,DA,45963,240
58725,,WNYS-TV,15,44,SYRACUSE,NY,425250,761159,799,445,366,DA,29851,0
62137,,WNPI-DT,23,23,NORWOOD,NY,442929,745126,596.63,241.63,40,DA,70610,0
62219,,WYDC,30,48,CORNING,NY,420830,770438,748,334,5.36,DA,87537,0
64352,,WSPX-TV,36,15,SYRACUSE,NY,431818,760259,525.3,379,78.1,DA,97098,352
68851,,WWNY-TV,8,7,CARTHAGE,NY,435715,754344,498.1,219,42,ND,,
70041,,WHEC-TV,10,10,ROCHESTER,NY,430808,773501,301,153,18.1,ND,,
